,word,segmentation,morph_structure
251,achụpụrụ,a + chụ + pụ + rụ,"[['a'], ['ch', 'ụ'], ['p', 'ụ'], ['r', 'ụ']]"
252,achụpụrụla,a + chụ + pụ + rụ + la,"[['a'], ['ch', 'ụ'], ['p', 'ụ'], ['r', 'ụ'], ['l', 'a']]"
253,achụrụ,a + chụ + rụ,"[['a'], ['ch', 'ụ'], ['r', 'ụ']]"
254,achụsa,a + chụ + sa,"[['a'], ['ch', 'ụ'], ['s', 'a']]"
255,achụsaala,a + chụ + sa + a + la,"[['a'], ['ch', 'ụ'], ['s', 'a'], ['a'], ['l', 'a']]"
256,achụsasị,a + chụ + sa + sị,"[['a'], ['ch', 'ụ'], ['s', 'a'], ['s', 'ị']]"
257,achụsasịala,a + chụ + sa + sị + a + la,"[['a'], ['ch', 'ụ'], ['s', 'a'], ['s', 'ị'], ['a'], ['l', 'a']]"
258,achụsịala,a + chụ + sị + a + la,"[['a'], ['ch', 'ụ'], ['s', 'ị'], ['a'], ['l', 'a']]"
259,achụta,a + chụ + ta,"[['a'], ['ch', 'ụ'], ['t', 'a']]"
260,achụtuola,a + chụ + tu + o + la,"[['a'], ['ch', 'ụ'], ['t', 'u'], ['o'], ['l', 'a']]"
261,achụturu,a + chụ + tu + ru,"[['a'], ['ch', 'ụ'], ['t', 'u'], ['r', 'u']]"
262,achụwa,a + chụ + wa,"[['a'], ['ch', 'ụ'], ['w', 'a']]"
263,achụwala,a + chụ + wa + la,"[['a'], ['ch', 'ụ'], ['w', 'a'], ['l', 'a']]"
264,achụzia,a + chụ + zi + a,"[['a'], ['ch', 'ụ'], ['z', 'i'], ['a']]"
265,achụzị,a + chụ + zị,"[['a'], ['ch', 'ụ'], ['z', 'ị']]"
266,achụọ,a + chụ + ọ,"[['a'], ['ch', 'ụ'], ['ọ']]"
267,achụọla,a + chụ + ọ + la,"[['a'], ['ch', 'ụ'], ['ọ'], ['l', 'a']]"
268,achụọlarị,a + chụ + ọ + la + rị,"[['a'], ['ch', 'ụ'], ['ọ'], ['l', 'a'], ['r', 'ị']]"
269,ada,ada,"[['a', 'd', 'a']]"
270,adaala,a + da + a + la,"[['a'], ['d', 'a'], ['a'], ['l', 'a']]"
271,adaalanụ,a + da + a + la + nụ,"[['a'], ['d', 'a'], ['a'], ['l', 'a'], ['n', 'ụ']]"
272,adaalara,a + da + a + la + ra,"[['a'], ['d', 'a'], ['a'], ['l', 'a'], ['r', 'a']]"
273,adabachaghị,a + da + ba + cha + ghị,"[['a'], ['d', 'a'], ['b', 'a'], ['ch', 'a'], ['gh', 'ị']]"
274,adabaghi,a + da + ba + ghị,"[['a'], ['d', 'a'], ['b', 'a'], ['gh', 'ị']]"
275,adabaghị,a + da + ba + ghị,"[['a'], ['d', 'a'], ['b', 'a'], ['gh', 'ị']]"
276,adabala,a + da + ba + la,"[['a'], ['d', 'a'], ['b', 'a'], ['l', 'a']]"
277,adabanyela,a + da + ba + nye + la,"[['a'], ['d', 'a'], ['b', 'a'], ['ny', 'e'], ['l', 'a']]"
278,adabara,a + da + ba + ra,"[['a'], ['d', 'a'], ['b', 'a'], ['r', 'a']]"
279,adabatakwa,a + da + ba + ta + kwa,"[['a'], ['d', 'a'], ['b', 'a'], ['t', 'a'], ['kw', 'a']]"
280,adabeghị,a + da + be + ghị,"[['a'], ['d', 'a'], ['b', 'e'], ['gh', 'ị']]"
281,adaberehe,a + da + be + re + he,"[['a'], ['d', 'a'], ['b', 'e'], ['r', 'e'], ['h', 'e']]"
282,adaberekwala,a + da + be + re + kwa + la,"[['a'], ['d', 'a'], ['b', 'e'], ['r', 'e'], ['kw', 'a'], ['l', 'a']]"
283,adachaa,a + da + cha + a,"[['a'], ['d', 'a'], ['ch', 'a'], ['a']]"
284,adachaghị,a + da + cha + ghị,"[['a'], ['d', 'a'], ['ch', 'a'], ['gh', 'ị']]"
285,adachiwele,adachiwele,"[['a', 'd', 'a', 'ch', 'i', 'w', 'e', 'l', 'e']]"
286,adadịọramma,ada + dị + ọha + mma,"[['a', 'd', 'a'], ['d', 'ị'], ['ọ', 'h', 'a'], ['m', 'm', 'a']]"
287,adaeze,adaeze,"[['a', 'd', 'a', 'e', 'z', 'e']]"
288,adagbuola,a + da + gbu + o + la,"[['a'], ['d', 'a'], ['gb', 'u'], ['o'], ['l', 'a']]"
289,adagbuona,a + da + gbu + o + na,"[['a'], ['d', 'a'], ['gb', 'u'], ['o'], ['n', 'a']]"
290,adagharia,a + da + gha + rị + a,"[['a'], ['d', 'a'], ['gh', 'a'], ['r', 'ị'], ['a']]"
291,adagharị,a + da + gha + rị,"[['a'], ['d', 'a'], ['gh', 'a'], ['r', 'ị']]"
292,adagharịala,a + da + gha + rị + a + la,"[['a'], ['d', 'a'], ['gh', 'a'], ['r', 'ị'], ['a'], ['l', 'a']]"
293,adagharịana,a + da + gha + rị + a + na,"[['a'], ['d', 'a'], ['gh', 'a'], ['r', 'ị'], ['a'], ['n', 'a']]"
294,adagharịsịgo,a + da + gha + rị + sị + go,"[['a'], ['d', 'a'], ['gh', 'a'], ['r', 'ị'], ['s', 'ị'], ['g', 'o']]"
295,adaghị,a + da + ghị,"[['a'], ['d', 'a'], ['gh', 'ị']]"
296,adajụọ,a + da + jụ + ọ,"[['a'], ['d', 'a'], ['j', 'ụ'], ['ọ']]"
297,adajụọla,a + da + jụ + ọ + la,"[['a'], ['d', 'a'], ['j', 'ụ'], ['ọ'], ['l', 'a']]"
298,adaka,adaka,"[['a', 'd', 'a', 'k', 'a']]"
299,adakarị,a + da + ka + rị,"[['a'], ['d', 'a'], ['k', 'a'], ['r', 'ị']]"
300,adakasị,a + da + ka + sị,"[['a'], ['d', 'a'], ['k', 'a'], ['s', 'ị']]"
301,adakpọ,a + da + kpọ,"[['a'], ['d', 'a'], ['kp', 'ọ']]"
302,adakpọsị,a + da + kpọ + sị,"[['a'], ['d', 'a'], ['kp', 'ọ'], ['s', 'ị']]"
303,adakwa,a + da + kwa,"[['a'], ['d', 'a'], ['kw', 'a']]"
304,adakwasịla,a + da + kwa + sị + la,"[['a'], ['d', 'a'], ['kw', 'a'], ['s', 'ị'], ['l', 'a']]"
305,adakọ,a + da + kọ,"[['a'], ['d', 'a'], ['k', 'ọ']]"
306,adala,a + da + la,"[['a'], ['d', 'a'], ['l', 'a']]"
307,adalatakwa,a + da + la + ta + kwa,"[['a'], ['d', 'a'], ['l', 'a'], ['t', 'a'], ['kw', 'a']]"
308,adana,a + da + na,"[['a'], ['d', 'a'], ['n', 'a']]"
309,adannaya,ada + nna + ya,"[['a', 'd', 'a'], ['n', 'n', 'a'], ['y', 'a']]"
310,adanwu,a + da + nwu,"[['a'], ['d', 'a'], ['nw', 'u']]"
311,adanwụ,a + da + nwụ,"[['a'], ['d', 'a'], ['nw', 'ụ']]"
312,adanye,a + da + nye,"[['a'], ['d', 'a'], ['ny', 'e']]"
313,adanyebeghị,a + da + nye + be + ghị,"[['a'], ['d', 'a'], ['ny', 'e'], ['b', 'e'], ['gh', 'ị']]"
314,adanyela,a + da + nye + la,"[['a'], ['d', 'a'], ['ny', 'e'], ['l', 'a']]"
315,adanyena,a + da + nye + na,"[['a'], ['d', 'a'], ['ny', 'e'], ['n', 'a']]"
316,adanyi,a + da + nyi,"[['a'], ['d', 'a'], ['ny', 'i']]"
317,adaobi,ada + obi,"[['a', 'd', 'a'], ['o', 'b', 'i']]"
318,adaora,ada + ọra,"[['a', 'd', 'a'], ['ọ', 'r', 'a']]"
319,adapiala,a + da + pia + la,"[['a'], ['d', 'a'], ['p', 'i', 'a'], ['l', 'a']]"
320,adapụ,a + da + pụ,"[['a'], ['d', 'a'], ['p', 'ụ']]"
321,adapụta,a + da + pụ + ta,"[['a'], ['d', 'a'], ['p', 'ụ'], ['t', 'a']]"
322,adapụtakwa,a + da + pụ + ta + kwa,"[['a'], ['d', 'a'], ['p', 'ụ'], ['t', 'a'], ['kw', 'a']]"
323,adara,a + da + ra,"[['a'], ['d', 'a'], ['r', 'a']]"
324,adaruela,a + da + ru + e + la,"[['a'], ['d', 'a'], ['r', 'u'], ['e'], ['l', 'a']]"
325,adaruola,a + da + ru + o + la,"[['a'], ['d', 'a'], ['r', 'u'], ['o'], ['l', 'a']]"
326,adata,a + da + ta,"[['a'], ['d', 'a'], ['t', 'a']]"
327,adatuola,a + da + tu + o + la,"[['a'], ['d', 'a'], ['t', 'u'], ['o'], ['l', 'a']]"
328,adawala,a + da + wa + la,"[['a'], ['d', 'a'], ['w', 'a'], ['l', 'a']]"
329,adaya,ada + ya,"[['a', 'd', 'a'], ['y', 'a']]"
330,adazi,a + da + zi,"[['a'], ['d', 'a'], ['z', 'i']]"
331,adazi-enu,adazi + enu,"[['a', 'd', 'a', 'z', 'i'], ['e', 'n', 'u']]"
332,adazi-nnukwu,adazi + nnukwu,"[['a', 'd', 'a', 'z', 'i'], ['n', 'n', 'u', 'kw', 'u']]"
333,adaụda,ada + ụda,"[['a', 'd', 'a'], ['ụ', 'd', 'a']]"
334,adiche,a + di + iche,"[['a'], ['d', 'i'], ['i', 'ch', 'e']]"
335,adichie,a + di + chie,"[['a'], ['d', 'i'], ['ch', 'i', 'e']]"
336,adighi,a + di + ghi,"[['a'], ['d', 'i'], ['gh', 'i']]"
337,adighị,a + di + ghị,"[['a'], ['d', 'i'], ['gh', 'ị']]"
338,adikabeghịzị,a + di + ka + be + ghị + zị,"[['a'], ['d', 'i'], ['k', 'a'], ['b', 'e'], ['gh', 'ị'], ['z', 'ị']]"
339,adike,a + di + ike,"[['a'], ['d', 'i'], ['i', 'k', 'e']]"
340,adikwara,a + di + kwa + ra,"[['a'], ['d', 'i'], ['kw', 'a'], ['r', 'a']]"
341,adila,a + di + la,"[['a'], ['d', 'i'], ['l', 'a']]"
342,adina,a + di + na,"[['a'], ['d', 'i'], ['n', 'a']]"
343,adindu,a + di + ndụ,"[['a'], ['d', 'i'], ['n', 'd', 'ụ']]"
344,adinuba,a + di + n' + uba,"[['a'], ['d', 'i'], ['n', ""'""], ['u', 'b', 'a']]"
345,adinụba,a + di + n' + ụba,"[['a'], ['d', 'i'], ['n', ""'""], ['ụ', 'b', 'a']]"
346,adiri,a + di + ri,"[['a'], ['d', 'i'], ['r', 'i']]"
347,adowara,a + do + wa + ra,"[['a'], ['d', 'o'], ['w', 'a'], ['r', 'a']]"
348,adoza,a + do + za,"[['a'], ['d', 'o'], ['z', 'a']]"
349,aduba,a + du + ba,"[['a'], ['d', 'u'], ['b', 'a']]"
350,adudu,a + du + du,"[['a'], ['d', 'u'], ['d', 'u']]"
351,adị,a + dị,"[['a'], ['d', 'ị']]"
352,adịbeghi,a + dị + be + ghi,"[['a'], ['d', 'ị'], ['b', 'e'], ['gh', 'i']]"
353,adịcha,a + dị + cha,"[['a'], ['d', 'ị'], ['ch', 'a']]"
354,adịchabeghị,a + dị + cha + be + ghị,"[['a'], ['d', 'ị'], ['ch', 'a'], ['b', 'e'], ['gh', 'ị']]"
355,adịchaghị,a + dị + cha + ghị,"[['a'], ['d', 'ị'], ['ch', 'a'], ['gh', 'ị']]"
356,adịchara,a + dị + cha + ra,"[['a'], ['d', 'ị'], ['ch', 'a'], ['r', 'a']]"
357,adịchazị,a + dị + cha + zị,"[['a'], ['d', 'ị'], ['ch', 'a'], ['z', 'ị']]"
358,adịchie,a + dị + chi + e,"[['a'], ['d', 'ị'], ['ch', 'i'], ['e']]"
359,adịgboloja,a + dị + gboloja,"[['a'], ['d', 'ị'], ['gb', 'o', 'l', 'o', 'j', 'a']]"
360,adịghi,a + dị + ghi,"[['a'], ['d', 'ị'], ['gh', 'i']]"
361,adịghị,a + dị + ghị,"[['a'], ['d', 'ị'], ['gh', 'ị']]"
362,adịghịanya,a + dị + ghị + anya,"[['a'], ['d', 'ị'], ['gh', 'ị'], ['a', 'ny', 'a']]"
363,adịghịdị,a + dị + ghị + dị,"[['a'], ['d', 'ị'], ['gh', 'ị'], ['d', 'ị']]"
364,adịghịkwa,a + dị + ghị + kwa,"[['a'], ['d', 'ị'], ['gh', 'ị'], ['kw', 'a']]"
365,adịghịzi,a + dị + ghị + zi,"[['a'], ['d', 'ị'], ['gh', 'ị'], ['z', 'i']]"
366,adịghịzị,a + dị + ghị + zị,"[['a'], ['d', 'ị'], ['gh', 'ị'], ['z', 'ị']]"
367,adịghịzịkwa,a + dị + ghị + zị + kwa,"[['a'], ['d', 'ị'], ['gh', 'ị'], ['z', 'ị'], ['kw', 'a']]"
368,adịgide,a + dị + gide,"[['a'], ['d', 'ị'], ['g', 'i', 'd', 'e']]"
369,adịgo,a + dị + go,"[['a'], ['d', 'ị'], ['g', 'o']]"
370,adịkarịkwa,a + dị + ka + rị + kwa,"[['a'], ['d', 'ị'], ['k', 'a'], ['r', 'ị'], ['kw', 'a']]"
371,adịkwa,a + dị + kwa,"[['a'], ['d', 'ị'], ['kw', 'a']]"
372,adịkwaghị,a + dị + kwa + ghị,"[['a'], ['d', 'ị'], ['kw', 'a'], ['gh', 'ị']]"
373,adịkwala,a + dị + kwa + la,"[['a'], ['d', 'ị'], ['kw', 'a'], ['l', 'a']]"
374,adịkwanụ,a + dị + kwa + nụ,"[['a'], ['d', 'ị'], ['kw', 'a'], ['n', 'ụ']]"
375,adịkwaranụghị,a + dị + kwa + ra + nụ + ghị,"[['a'], ['d', 'ị'], ['kw', 'a'], ['r', 'a'], ['n', 'ụ'], ['gh', 'ị']]"
376,adịkwuola,a + dị + kwu + o + la,"[['a'], ['d', 'ị'], ['kw', 'u'], ['o'], ['l', 'a']]"
377,adịm,a + dị + m,"[['a'], ['d', 'ị'], ['m']]"
378,adịmọcha,a + dị + m + ọ + cha,"[['a'], ['d', 'ị'], ['m'], ['ọ'], ['ch', 'a']]"
379,adịna,a + dị + na,"[['a'], ['d', 'ị'], ['n', 'a']]"
380,adịndụ,a + dị + ndụ,"[['a'], ['d', 'ị'], ['n', 'd', 'ụ']]"
381,adịnụba,a + dị + n' + ụba,"[['a'], ['d', 'ị'], ['n', ""'""], ['ụ', 'b', 'a']]"
382,adịpụ,a + dị + pụ,"[['a'], ['d', 'ị'], ['p', 'ụ']]"
383,adịpụga,a + dị + pụ + ga,"[['a'], ['d', 'ị'], ['p', 'ụ'], ['g', 'a']]"
384,adịrị,a + dị + rị,"[['a'], ['d', 'ị'], ['r', 'ị']]"
385,adịrịghị,a + dị + rị + ghị,"[['a'], ['d', 'ị'], ['r', 'ị'], ['gh', 'ị']]"
386,adịrịka,a + dị + rị + ka,"[['a'], ['d', 'ị'], ['r', 'ị'], ['k', 'a']]"
387,adịrịkwa,a + dị + rị + kwa,"[['a'], ['d', 'ị'], ['r', 'ị'], ['kw', 'a']]"
388,adịte,a + dị + te,"[['a'], ['d', 'ị'], ['t', 'e']]"
389,adịteghị,a + dị + te + ghị,"[['a'], ['d', 'ị'], ['t', 'e'], ['gh', 'ị']]"
390,adịtekwu,a + dị + te + kwu,"[['a'], ['d', 'ị'], ['t', 'e'], ['kw', 'u']]"
391,adịtụdịghị,a + dị + tụ + dị + ghị,"[['a'], ['d', 'ị'], ['t', 'ụ'], ['d', 'ị'], ['gh', 'ị']]"
392,adịwala,a + dị + wa + la,"[['a'], ['d', 'ị'], ['w', 'a'], ['l', 'a']]"
393,adịzi,a + dị + zi,"[['a'], ['d', 'ị'], ['z', 'i']]"
394,adịzie,a + dị + zi + e,"[['a'], ['d', 'ị'], ['z', 'i'], ['e']]"
395,adịị,a + dị + ị,"[['a'], ['d', 'ị'], ['ị']]"
396,adọ,a + dọ,"[['a'], ['d', 'ọ']]"
397,adọba,a + dọ + ba,"[['a'], ['d', 'ọ'], ['b', 'a']]"
398,adọbiri,a + dọ + bi + ri,"[['a'], ['d', 'ọ'], ['b', 'i'], ['r', 'i']]"
399,adọgbu,a + dọ + gbu,"[['a'], ['d', 'ọ'], ['gb', 'u']]"
400,adọgbuola,a + dọ + gbu + o + la,"[['a'], ['d', 'ọ'], ['gb', 'u'], ['o'], ['l', 'a']]"
401,adọjuo,a + dọ + ju + o,"[['a'], ['d', 'ọ'], ['j', 'u'], ['o']]"
402,adọkasị,a + dọ + ka + sị,"[['a'], ['d', 'ọ'], ['k', 'a'], ['s', 'ị']]"
403,adọkasịala,a + dọ + ka + sị + a + la,"[['a'], ['d', 'ọ'], ['k', 'a'], ['s', 'ị'], ['a'], ['l', 'a']]"
404,adọkpụrụ,a + dọ + kpụ + rụ,"[['a'], ['d', 'ọ'], ['kp', 'ụ'], ['r', 'ụ']]"
405,adọla,a + dọ + la,"[['a'], ['d', 'ọ'], ['l', 'a']]"
406,adọnye,a + dọ + nye,"[['a'], ['d', 'ọ'], ['ny', 'e']]"
407,adọnyerela,a + dọ + nye + re + la,"[['a'], ['d', 'ọ'], ['ny', 'e'], ['r', 'e'], ['l', 'a']]"
408,adọola,a + dọ + o + la,"[['a'], ['d', 'ọ'], ['o'], ['l', 'a']]"
409,adọri,a + dọ + ri,"[['a'], ['d', 'ọ'], ['r', 'i']]"
410,adọriela,a + dọ + ri + e + la,"[['a'], ['d', 'ọ'], ['r', 'i'], ['e'], ['l', 'a']]"
411,adọrọ,a + dọ + rọ,"[['a'], ['d', 'ọ'], ['r', 'ọ']]"
412,adọrọla,a + dọ + rọ + la,"[['a'], ['d', 'ọ'], ['r', 'ọ'], ['l', 'a']]"
413,adọti,a + dọ + ti,"[['a'], ['d', 'ọ'], ['t', 'i']]"
414,adọtu,a + dọ + tu,"[['a'], ['d', 'ọ'], ['t', 'u']]"
415,adọtịala,a + dọ + tị + a + la,"[['a'], ['d', 'ọ'], ['t', 'ị'], ['a'], ['l', 'a']]"
416,adọtịrị,a + dọ + tị + rị,"[['a'], ['d', 'ọ'], ['t', 'ị'], ['r', 'ị']]"
417,adọwa,a + dọ + wa,"[['a'], ['d', 'ọ'], ['w', 'a']]"
418,adọwara,a + dọ + wa + ra,"[['a'], ['d', 'ọ'], ['w', 'a'], ['r', 'a']]"
419,adọ,a + dọ,"[['a'], ['d', 'ọ']]"
420,adọọkwa,a + dọ + ọ + kwa,"[['a'], ['d', 'ọ'], ['ọ'], ['kw', 'a']]"
421,adọọla,a + dọ + ọ + la,"[['a'], ['d', 'ọ'], ['ọ'], ['l', 'a']]"
422,adọọna,a + dọ + ọ + na,"[['a'], ['d', 'ọ'], ['ọ'], ['n', 'a']]"
423,adọọtịala,a + dọ + ọ + tị + a + la,"[['a'], ['d', 'ọ'], ['ọ'], ['t', 'ị'], ['a'], ['l', 'a']]"
424,adọọtịe,a + dọ + ọ + tị + e,"[['a'], ['d', 'ọ'], ['ọ'], ['t', 'ị'], ['e']]"
425,adụ,a + dụ,"[['a'], ['d', 'ụ']]"
426,adụọla,a + dụ + ọ + la,"[['a'], ['d', 'ụ'], ['ọ'], ['l', 'a']]"
427,afa,a + fa,"[['a'], ['f', 'a']]"
428,afam,afa + m,"[['a', 'f', 'a'], ['m']]"
429,afamefuna,afa + m + e + fu + na,"[['a', 'f', 'a'], ['m'], ['e'], ['f', 'u'], ['n', 'a']]"
430,afikpo,afikpo,"[['a', 'f', 'i', 'kp', 'o']]"
431,afrika,afrika,"[['a', 'f', 'r', 'i', 'k', 'a']]"
432,afrobeat,afrobeat,"[['a', 'f', 'r', 'o', 'b', 'e', 'a', 't']]"
433,afrịka,afrịka,"[['a', 'f', 'r', 'ị', 'k', 'a']]"
434,afrịka-ndị,afrịka + ndị,"[['a', 'f', 'r', 'ị', 'k', 'a'], ['n', 'd', 'ị']]"
435,afrịkan,afrịka + n,"[['a', 'f', 'r', 'ị', 'k', 'a'], ['n']]"
436,afrịrịka,a + f + rịrị + ka,"[['a'], ['f'], ['r', 'ị', 'r', 'ị'], ['k', 'a']]"
437,afịa,a + fịa,"[['a'], ['f', 'ị', 'a']]"
438,afịrika,afịrika,"[['a', 'f', 'ị', 'r', 'i', 'k', 'a']]"
439,afịọlụ,afịọlụ,"[['a', 'f', 'ị', 'ọ', 'l', 'ụ']]"
440,afọ,a + fọ,"[['a'], ['f', 'ọ']]"
441,afọ,afọ,"[['a', 'f', 'ọ']]"
442,afọa,afọ + a,"[['a', 'f', 'ọ'], ['a']]"
443,afọime,afọ + ime,"[['a', 'f', 'ọ'], ['i', 'm', 'e']]"
444,afọjuola,afọ + ju + o + la,"[['a', 'f', 'ọ'], ['j', 'u'], ['o'], ['l', 'a']]"
445,afọma,afọ + ma,"[['a', 'f', 'ọ'], ['m', 'a']]"
446,afọnyela,a + fọ + nye + la,"[['a'], ['f', 'ọ'], ['ny', 'e'], ['l', 'a']]"
447,afọojuju,afọ + o + ju + ju,"[['a', 'f', 'ọ'], ['o'], ['j', 'u'], ['j', 'u']]"
448,afọr,afọr,"[['a', 'f', 'ọ', 'r']]"
449,afọọla,a + fọ + ọ + la,"[['a'], ['f', 'ọ'], ['ọ'], ['l', 'a']]"
450,afụfụ,a + fụ + fụ,"[['a'], ['f', 'ụ'], ['f', 'ụ']]"
451,afụkọta,a + fụ + kọ + ta,"[['a'], ['f', 'ụ'], ['k', 'ọ'], ['t', 'a']]"
452,afụnwa,a + fụ + nwa,"[['a'], ['f', 'ụ'], ['nw', 'a']]"
453,afụnye,a + fụ + nye,"[['a'], ['f', 'ụ'], ['ny', 'e']]"
454,afụọnụ,a + fụ + ọnụ,"[['a'], ['f', 'ụ'], ['ọ', 'n', 'ụ']]"
455,aga,a + ga,"[['a'], ['g', 'a']]"
456,aga-achupụ,a + ga + a + chu + pụ,"[['a'], ['g', 'a'], ['a'], ['ch', 'u'], ['p', 'ụ']]"
457,aga-amalite,a + ga + a + ma + li + te,"[['a'], ['g', 'a'], ['a'], ['m', 'a'], ['l', 'i'], ['t', 'e']]"
458,aga-ebe,a + ga + e + be,"[['a'], ['g', 'a'], ['e'], ['b', 'e']]"
459,aga-ebido,a + ga + e + bi + do,"[['a'], ['g', 'a'], ['e'], ['b', 'i'], ['d', 'o']]"
460,aga-eburu,a + ga + e + bu + ru,"[['a'], ['g', 'a'], ['e'], ['b', 'u'], ['r', 'u']]"
461,aga-ebuta,a + ga + e + bu + ta,"[['a'], ['g', 'a'], ['e'], ['b', 'u'], ['t', 'a']]"
462,agaafe,a + ga + a + fe,"[['a'], ['g', 'a'], ['a'], ['f', 'e']]"
463,agaaga,a + ga + a + ga,"[['a'], ['g', 'a'], ['a'], ['g', 'a']]"
464,agaakwa,a + ga + a + kwa,"[['a'], ['g', 'a'], ['a'], ['kw', 'a']]"
465,agaakwala,a + ga + a + kwa + la,"[['a'], ['g', 'a'], ['a'], ['kw', 'a'], ['l', 'a']]"
466,agaala,a + ga + a + la,"[['a'], ['g', 'a'], ['a'], ['l', 'a']]"
467,agaalarị,a + ga + a + la + rị,"[['a'], ['g', 'a'], ['a'], ['l', 'a'], ['r', 'ị']]"
468,agaana,a + ga + a + na,"[['a'], ['g', 'a'], ['a'], ['n', 'a']]"
469,agaara,a + ga + a + ra,"[['a'], ['g', 'a'], ['a'], ['r', 'a']]"
470,agabanye,a + ga + ba + nye,"[['a'], ['g', 'a'], ['b', 'a'], ['ny', 'e']]"
471,agabeghi,a + ga + be + ghi,"[['a'], ['g', 'a'], ['b', 'e'], ['gh', 'i']]"
472,agabeghị,a + ga + be + ghị,"[['a'], ['g', 'a'], ['b', 'e'], ['gh', 'ị']]"
473,agabiga,a + ga + bi + ga,"[['a'], ['g', 'a'], ['b', 'i'], ['g', 'a']]"
474,agabigawo,a + ga + bi + ga + wo,"[['a'], ['g', 'a'], ['b', 'i'], ['g', 'a'], ['w', 'o']]"
475,agabuola,a + ga + bu + o + la,"[['a'], ['g', 'a'], ['b', 'u'], ['o'], ['l', 'a']]"
476,agacha,a + ga + cha,"[['a'], ['g', 'a'], ['ch', 'a']]"
477,agachaghị,a + ga + cha + ghị,"[['a'], ['g', 'a'], ['ch', 'a'], ['gh', 'ị']]"
478,agada,a + ga + da,"[['a'], ['g', 'a'], ['d', 'a']]"
479,agadaga,aga + da + ga,"[['a', 'g', 'a'], ['d', 'a'], ['g', 'a']]"
480,agadi,agadi,"[['a', 'g', 'a', 'd', 'i']]"
481,agafe,a + ga + fe,"[['a'], ['g', 'a'], ['f', 'e']]"
482,agafee,a + ga + fe + e,"[['a'], ['g', 'a'], ['f', 'e'], ['e']]"
483,agafeela,a + ga + fe + e + la,"[['a'], ['g', 'a'], ['f', 'e'], ['e'], ['l', 'a']]"
484,agafeelari,a + ga + fe + e + la + ri,"[['a'], ['g', 'a'], ['f', 'e'], ['e'], ['l', 'a'], ['r', 'i']]"
485,agaferela,a + ga + fe + re + la,"[['a'], ['g', 'a'], ['f', 'e'], ['r', 'e'], ['l', 'a']]"
486,agafetụla,a + ga + fe + tụ + la,"[['a'], ['g', 'a'], ['f', 'e'], ['t', 'ụ'], ['l', 'a']]"
487,agaga,a + ga + ga,"[['a'], ['g', 'a'], ['g', 'a']]"
488,agaghari,a + ga + gha + ri,"[['a'], ['g', 'a'], ['gh', 'a'], ['r', 'i']]"
489,agagharị,a + ga + gha + rị,"[['a'], ['g', 'a'], ['gh', 'a'], ['r', 'ị']]"
490,agaghi,a + ga + ghi,"[['a'], ['g', 'a'], ['gh', 'i']]"
491,agaghị,a + ga + ghị,"[['a'], ['g', 'a'], ['gh', 'ị']]"
492,agaghịdị,a + ga + ghị + dị,"[['a'], ['g', 'a'], ['gh', 'ị'], ['d', 'ị']]"
493,agaghịkwa,a + ga + ghị + kwa,"[['a'], ['g', 'a'], ['gh', 'ị'], ['kw', 'a']]"
494,agaghịzi,a + ga + ghị + zi,"[['a'], ['g', 'a'], ['gh', 'ị'], ['z', 'i']]"
495,agaghịziị,a + ga + ghị + zi + ị,"[['a'], ['g', 'a'], ['gh', 'ị'], ['z', 'i'], ['ị']]"
496,agaghịzị,a + ga + ghị + zị,"[['a'], ['g', 'a'], ['gh', 'ị'], ['z', 'ị']]"
497,agaghịzịkwa,a + ga + ghị + zị + kwa,"[['a'], ['g', 'a'], ['gh', 'ị'], ['z', 'ị'], ['kw', 'a']]"
498,agaha,a + ga + ha,"[['a'], ['g', 'a'], ['h', 'a']]"
499,agahị,a + ga + hị,"[['a'], ['g', 'a'], ['h', 'ị']]"
500,agakarị,a + ga + ka + rị,"[['a'], ['g', 'a'], ['k', 'a'], ['r', 'ị']]"
501,agakwa,a + ga + kwa,"[['a'], ['g', 'a'], ['kw', 'a']]"
502,agakwaghị,a + ga + kwa + ghị,"[['a'], ['g', 'a'], ['kw', 'a'], ['gh', 'ị']]"
503,agakwala,a + ga + kwa + la,"[['a'], ['g', 'a'], ['kw', 'a'], ['l', 'a']]"
504,agakwanụghị,a + ga + kwa + nụ + ghị,"[['a'], ['g', 'a'], ['kw', 'a'], ['n', 'ụ'], ['gh', 'ị']]"
505,agakwara,a + ga + kwa + ra,"[['a'], ['g', 'a'], ['kw', 'a'], ['r', 'a']]"
506,agakwaraghị,a + ga + kwa + ra + ghị,"[['a'], ['g', 'a'], ['kw', 'a'], ['r', 'a'], ['gh', 'ị']]"
507,agakwuo,a + ga + kwu + o,"[['a'], ['g', 'a'], ['kw', 'u'], ['o']]"
508,agakwuru,a + ga + kwu + ru,"[['a'], ['g', 'a'], ['kw', 'u'], ['r', 'u']]"
509,agakọrọ,a + ga + kọ + rọ,"[['a'], ['g', 'a'], ['k', 'ọ'], ['r', 'ọ']]"
510,agala,a + ga + la,"[['a'], ['g', 'a'], ['l', 'a']]"
511,agamevu,agamevu,"[['a', 'g', 'a', 'm', 'e', 'v', 'u']]"
512,agamnihu,aga + m + n' + ihu,"[['a', 'g', 'a'], ['m'], ['n', ""'""], ['i', 'h', 'u']]"
513,aganwu,a + ga + nwu,"[['a'], ['g', 'a'], ['nw', 'u']]"
514,agara,a + ga + ra,"[['a'], ['g', 'a'], ['r', 'a']]"
